[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1302 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1823 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 281 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 4739 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 306 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 8034 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3074 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5381 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3213 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2744 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2464 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 4250 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1791 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3997 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3653 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6357 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1191 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6678 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6937 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6840 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 8478 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6846 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 371 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 4485 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1526 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1592 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1449 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5254 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1422 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7490 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 104 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3109 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3788 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2189 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7049 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3831 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
